time,FOL_X,FOL_Y,FOL_Z,FOR_X,FOR_Y,FOR_Z,FVL_X,FVL_Y,FVL_Z,FVR_X,FVR_Y,FVR_Z,EOL,EOR,PPLX,PPLY,PPRX,PPRY,AOIName,PCL_X,PCL_Y,PCL_Z,PCR_X,PCR_Y,PCR_Z
0.955555,-3.769470,2.683569,1.051071,-3.977231,-3.038802,1.019650,0.969345,0.212280,-0.123657,0.967178,0.226730,-0.114563,0.896482,0.993377,0.534854,0.374371,0.110975,0.325633,NULL,4.687799,44.798950,80.741325,0.648013,4.984173,-19.348177
0.977778,-3.769577,2.683623,1.050734,-3.977278,-3.039081,1.019464,0.969452,0.212509,-0.122360,0.967422,0.226013,-0.114029,1.000000,1.000000,0.534854,0.374371,0.110975,0.325633,NULL,4.702901,44.795555,80.740135,0.661743,4.995299,-19.354107
1.000000,-3.769748,2.688712,1.050069,-3.977368,-3.040030,1.019324,0.964493,0.229279,-0.131058,0.967743,0.224670,-0.113892,0.910820,0.987562,0.535009,0.370046,0.111278,0.325455,NULL,4.702917,44.792637,80.736931,0.669934,4.980983,-19.348507
1.022222,-3.770029,2.688765,1.049791,-3.977558,-3.040836,1.018332,0.965698,0.234909,-0.110596,0.968567,0.218903,-0.118088,0.895578,0.995490,0.537044,0.375759,0.110206,0.323328,NULL,4.714960,44.796375,80.739708,0.670811,4.967398,-19.357616
1.044444,-3.769912,2.687093,1.049693,-3.977558,-3.040933,1.018193,0.966324,0.230530,-0.114212,0.967865,0.217072,-0.126907,1.000000,1.000000,0.537044,0.374668,0.109706,0.320511,NULL,4.726697,44.794373,80.750542,0.672685,4.959462,-19.373526
1.066667,-3.769968,2.685439,1.049608,-3.977558,-3.040956,1.018007,0.966827,0.228973,-0.113098,0.967896,0.217117,-0.126572,1.000000,1.000000,0.537955,0.374877,0.109706,0.320369,NULL,4.721124,44.794079,80.748512,0.689735,4.965117,-19.350283
1.088889,-3.770069,2.685627,1.049358,-3.977271,-3.040956,1.017944,0.966751,0.230438,-0.110794,0.967911,0.217224,-0.126221,1.000000,1.000000,0.538243,0.375165,0.109706,0.320369,NULL,4.718626,44.799133,80.742943,0.681673,4.983108,-19.346788
1.111111,-3.770149,2.685550,1.049233,-3.977115,-3.040933,1.017900,0.966370,0.231613,-0.111618,0.968002,0.217361,-0.125366,1.000000,1.000000,0.538600,0.374668,0.109706,0.320511,NULL,4.712545,44.796383,80.739281,0.633277,4.987732,-19.357752
1.133333,-3.770090,2.685425,1.049161,-3.977115,-3.040933,1.017847,0.966278,0.231720,-0.112289,0.968521,0.218170,-0.119843,1.000000,1.000000,0.538669,0.374017,0.109929,0.322040,NULL,4.712568,44.803654,80.733940,0.612770,4.969782,-19.355450
1.155556,-3.760456,2.718527,1.050288,-3.971184,-3.009545,1.015990,0.979706,0.165634,-0.112762,0.978394,0.180344,-0.101044,0.894282,0.991800,0.492342,0.373917,0.076031,0.327540,NULL,4.724748,44.811432,80.734428,0.633670,4.969925,-19.327961
1.177778,-3.814800,2.792773,1.071249,-4.015915,-2.944083,1.029662,0.994904,0.035950,-0.094116,0.991653,0.072418,-0.106644,0.826552,0.937393,0.400077,0.382340,-0.002762,0.329813,NULL,4.712465,44.820595,80.731712,0.625468,4.988353,-19.312000
1.200000,-3.934784,2.882669,1.116631,-4.207228,-2.868880,1.094644,0.000000,-0.000000,0.000000,0.985596,-0.061234,-0.157578,0.665297,0.859583,0.000000,0.000000,-0.099178,0.332131,NULL,4.726377,44.827454,80.727837,0.663180,4.956429,-19.309465
1.222223,-3.841855,2.843054,1.058455,-4.030017,-2.866904,1.020656,0.991302,-0.026108,-0.128952,0.987900,-0.068604,-0.139023,0.947719,0.937526,0.343963,0.355578,-0.099618,0.312627,NULL,4.703023,44.829369,80.719444,0.669929,4.910612,-19.307213
1.244445,-3.743933,2.814584,1.028546,-4.009653,-2.886130,1.009521,0.991180,-0.038544,-0.126709,0.989655,-0.041473,-0.137283,0.933550,0.929989,0.359669,0.350397,-0.077403,0.307906,NULL,4.465402,46.553143,81.148613,4.343874,6.185528,-16.868780
