Longitude,Latitude,Height
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
106.6599197,29.71557617,400.661041
